model,status,notes,summary_path,valid_px,mae_px,rmse_px,bad1_pct,bad2_pct,bad5_pct,depth_mae_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct,frames,avg_conf,valid_conf_occ_pct
SGBM,tested,classical OpenCV baseline,/home/pampaj/Desktop/stereo/Fast-FoundationStereo/output_servct_eval_sgbm/summary.json,228226.875,8.378580406308174,15.196028232574463,67.37941702960424,47.507979047645094,27.229285316233092,30.8697227537632,180.66861003637314,71.34235149397546,53.108355405143904,31.58101519645998,16,,
Fast-FoundationStereo ONNX,tested,NVLabs real-time foundation baseline,/home/pampaj/Desktop/stereo/Fast-FoundationStereo/output_servct_eval/summary.json,235520.0,1.4804744683206081,2.821343384683132,42.46600607167119,18.072615913722828,3.3237092391304346,1.793836496770382,3.291372314095497,46.853717306385875,23.314553965692934,6.549470320991848,16,,
S2M2-S zero-shot,tested,pretrained S checkpoint,/home/pampaj/Desktop/stereo/s2m2/output_servct_eval_s2m2_S/summary.json,414720.0,1.2805964201688766,2.729727741330862,34.487334828317906,13.181498963155864,2.8839638792438276,1.7106606215238571,3.385963574051857,39.44899570794753,21.909903067129626,6.475815007716049,16,0.9999986924231052,91.2806984230324
S2M2-M zero-shot,tested,pretrained M checkpoint,/home/pampaj/Desktop/stereo/s2m2/output_servct_eval_s2m2_M/summary.json,414720.0,1.2915709428489208,2.5090277791023254,36.54652536651235,15.125626929012347,3.017653477044753,1.7307303696870804,3.3661355823278427,41.34033203125,20.71313175154321,6.60130630304784,16,0.9988386519253254,91.1047664689429
S2M2-S fine-tuned all-surgical,tested,SERV-CT adapted checkpoint; not independent holdout,/home/pampaj/Desktop/stereo/s2m2/output_servct_eval_s2m2_S_all_surgical_checkpoint/summary.json,414720.0,0.8096873294562101,1.842702254652977,20.39728612075617,5.481333791473766,1.356788917824074,1.02197833545506,2.308664407581091,24.88597728587963,9.144181616512347,2.544261791087963,16,0.9997023195028305,91.64053457754629
Stereo Anywhere VIT-L,tested,Depth Anything V2-L prior,/home/pampaj/Desktop/stereo/stereoanywhere/output_servct_eval_stereoanywhere_vitl/summary.json,414720.0,1.695900198072195,3.025991953909397,45.52562572337963,20.500292365933642,4.992268880208334,2.052884094417095,3.9115767627954483,48.70585877218364,24.932665412808642,6.684163411458334,16,,
RT-MonSter++ zero-shot,tested,RT zero-shot checkpoint,/home/pampaj/Desktop/stereo/MonSter-plusplus/RT-MonSter++/output_servct_eval_rtmonster_zeroshot/summary.json,414720.0,1.6010425724089146,2.7847467064857483,50.21107614776235,21.54687198591821,3.3253158757716053,2.047905147075653,3.4245901852846146,51.74803180459105,28.075614269868826,8.167784891010802,16,,
MonSter++ MixAll large i16,tested,"large MixAll checkpoint, 16 iterations",/home/pampaj/Desktop/stereo/MonSter-plusplus/MonSter++/output_servct_eval_monsterpp_mixall_i16/summary.json,414720.0,1.4603893160820007,2.8460845947265625,42.380551938657405,16.43010645736883,2.9774305555555554,1.7720489092171192,3.281339168548584,45.12455692997685,22.56279839409722,6.004925009645062,16,,
CREStereo,tested,bundled epoch-570 checkpoint,/home/pampaj/Desktop/stereo/stereo_matching_crestereo/output_servct_eval_crestereo/summary.json,414720.0,1.8214222937822342,3.310548633337021,50.98045066550925,24.999758873456788,5.625346619405864,2.3238128162920475,4.298245780169964,52.584816261574076,28.831410349151234,9.254527150848766,16,,
RAFT-Stereo RVC,tested,"iRAFT RVC checkpoint, context_norm=instance",/home/pampaj/Desktop/stereo/RAFT-Stereo/output_servct_eval_raft_rvc/summary.json,414720.0,1.846207208931446,4.740111261606216,42.470537350501544,18.67092556423611,4.970326364776234,2.1954935640096664,4.505864284932613,44.64198736496914,24.432885440779323,8.810552903163579,16,,
RAFT-Stereo Middlebury,tested,Middlebury checkpoint,/home/pampaj/Desktop/stereo/RAFT-Stereo/output_servct_eval_raft_middlebury/summary.json,414720.0,1.7936891689896584,4.091709986329079,43.05374710648148,19.13996190200617,5.594783830054013,2.3967663906514645,5.081880584359169,44.97867537133487,25.356460382908953,9.364993248456791,16,,
DEFOM-Stereo VIT-L Middlebury,tested,VIT-L Middlebury checkpoint,/home/pampaj/Desktop/stereo/DEFOM-Stereo/output_servct_eval_defom_vitl_middlebury/summary.json,414720.0,1.7327563874423504,4.622892804443836,42.303512008101855,15.85185486593364,3.8655297550154324,1.9893778041005135,4.294950649142265,45.24609977816358,24.13019627700617,6.761926721643518,16,,
DEFOM-Stereo VITS RVC,tested,VITS RVC checkpoint,/home/pampaj/Desktop/stereo/DEFOM-Stereo/output_servct_eval_defom_vits_rvc/summary.json,414720.0,1.7668379880487919,4.4270171746611595,41.98282877604167,17.235740379050924,3.8820469232253085,2.071713663637638,4.548426531255245,45.36673840181328,23.346761067708332,6.5061517409336425,16,,
DEFOM-Stereo VITS SceneFlow,tested,VITS SceneFlow checkpoint; smoke baseline,/home/pampaj/Desktop/stereo/DEFOM-Stereo/output_servct_eval_defom_vits_sceneflow/summary.json,414720.0,2.4123797565698624,7.725880779325962,48.43308437017747,22.220112364969136,4.859890407986111,2.409750573337078,5.343260005116463,52.70840868537809,27.58591640142747,8.527063440393519,16,,
