split,sequence,backbone,horizon,method,metric,aggregation,value,support
d7,dataset_7_keyframe_1,RAFT-Stereo,4,raw,OPW_px,macro_sequence,0.07654029630220786,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,raw,OPW_px,value,0.07654029630220786,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,TEPE_corr_px,macro_sequence,0.05962934089858217,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,TEPE_corr_px,value,0.05962934089858217,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,OPW_px,macro_sequence,0.06751111013970466,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,OPW_px,value,0.06751111013970466,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,TEPE_corr_px,macro_sequence,0.07767878817188842,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,TEPE_corr_px,value,0.07767878817188842,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,OPW_px,macro_sequence,0.10485057341361861,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,OPW_px,value,0.10485057341361861,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,refined,TEPE_corr_px,macro_sequence,0.06933335761182871,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,refined,TEPE_corr_px,value,0.06933335761182871,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,refined,OPW_px,macro_sequence,0.09735202535586159,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,refined,OPW_px,value,0.09735202535586159,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,1,raw,TEPE_corr_px,macro_sequence,0.04880340418521285,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,raw,TEPE_corr_px,value,0.04880340418521285,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,raw,OPW_px,macro_sequence,0.04406984409616844,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,raw,OPW_px,value,0.04406984409616844,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,refined,TEPE_corr_px,macro_sequence,0.0357902873554579,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,refined,TEPE_corr_px,value,0.0357902873554579,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,refined,OPW_px,macro_sequence,0.028517585042485732,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,1,refined,OPW_px,value,0.028517585042485732,2286995
d7,dataset_7_keyframe_1,StereoAnywhere,2,raw,TEPE_corr_px,macro_sequence,0.054088745254591335,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,raw,TEPE_corr_px,value,0.054088745254591335,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,raw,OPW_px,macro_sequence,0.053062000018763364,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,raw,OPW_px,value,0.053062000018763364,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,refined,TEPE_corr_px,macro_sequence,0.044502584512917144,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,refined,TEPE_corr_px,value,0.044502584512917144,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,refined,OPW_px,macro_sequence,0.041897031706509956,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,2,refined,OPW_px,value,0.041897031706509956,2251969
d7,dataset_7_keyframe_1,StereoAnywhere,4,raw,TEPE_corr_px,macro_sequence,0.05998556832319253,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,raw,TEPE_corr_px,value,0.05998556832319253,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,raw,OPW_px,macro_sequence,0.0684661838475846,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,raw,OPW_px,value,0.0684661838475846,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,refined,TEPE_corr_px,macro_sequence,0.05170661409303207,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,refined,TEPE_corr_px,value,0.05170661409303207,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,refined,OPW_px,macro_sequence,0.06013222725758331,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,4,refined,OPW_px,value,0.06013222725758331,2210750
d7,dataset_7_keyframe_1,StereoAnywhere,8,raw,TEPE_corr_px,macro_sequence,0.070108026116073,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,raw,TEPE_corr_px,value,0.070108026116073,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,raw,OPW_px,macro_sequence,0.09908259285250962,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,raw,OPW_px,value,0.09908259285250962,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,refined,TEPE_corr_px,macro_sequence,0.06250390569203167,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,refined,TEPE_corr_px,value,0.06250390569203167,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,refined,OPW_px,macro_sequence,0.09210715372343707,2112235
d7,dataset_7_keyframe_1,StereoAnywhere,8,refined,OPW_px,value,0.09210715372343707,2112235
d7,dataset_7_keyframe_1,CREStereo,1,raw,TEPE_corr_px,macro_sequence,0.05471470222532275,2286995
d7,dataset_7_keyframe_1,CREStereo,1,raw,TEPE_corr_px,value,0.05471470222532275,2286995
d7,dataset_7_keyframe_1,CREStereo,1,raw,OPW_px,macro_sequence,0.05033955306416199,2286995
d7,dataset_7_keyframe_1,CREStereo,1,raw,OPW_px,value,0.05033955306416199,2286995
d7,dataset_7_keyframe_1,CREStereo,1,refined,TEPE_corr_px,macro_sequence,0.03871047525709313,2286995
d7,dataset_7_keyframe_1,CREStereo,1,refined,TEPE_corr_px,value,0.03871047525709313,2286995
d7,dataset_7_keyframe_1,CREStereo,1,refined,OPW_px,macro_sequence,0.03180362024902079,2286995
d7,dataset_7_keyframe_1,CREStereo,1,refined,OPW_px,value,0.03180362024902079,2286995
d7,dataset_7_keyframe_1,CREStereo,2,raw,TEPE_corr_px,macro_sequence,0.059636567554794566,2251969
d7,dataset_7_keyframe_1,CREStereo,2,raw,TEPE_corr_px,value,0.059636567554794566,2251969
d7,dataset_7_keyframe_1,CREStereo,2,raw,OPW_px,macro_sequence,0.05854784897819844,2251969
d7,dataset_7_keyframe_1,CREStereo,2,raw,OPW_px,value,0.05854784897819844,2251969
d7,dataset_7_keyframe_1,CREStereo,2,refined,TEPE_corr_px,macro_sequence,0.04819535521028577,2251969
d7,dataset_7_keyframe_1,CREStereo,2,refined,TEPE_corr_px,value,0.04819535521028577,2251969
d7,dataset_7_keyframe_1,CREStereo,2,refined,OPW_px,macro_sequence,0.04561629897063646,2251969
d7,dataset_7_keyframe_1,CREStereo,2,refined,OPW_px,value,0.04561629897063646,2251969
d7,dataset_7_keyframe_1,CREStereo,4,raw,TEPE_corr_px,macro_sequence,0.06442233434273999,2210750
d7,dataset_7_keyframe_1,CREStereo,4,raw,TEPE_corr_px,value,0.06442233434273999,2210750
d7,dataset_7_keyframe_1,CREStereo,4,raw,OPW_px,macro_sequence,0.07237021950490197,2210750
d7,dataset_7_keyframe_1,CREStereo,4,raw,OPW_px,value,0.07237021950490197,2210750
d7,dataset_7_keyframe_1,CREStereo,4,refined,TEPE_corr_px,macro_sequence,0.055072388616309746,2210750
d7,dataset_7_keyframe_1,CREStereo,4,refined,TEPE_corr_px,value,0.055072388616309746,2210750
d7,dataset_7_keyframe_1,CREStereo,4,refined,OPW_px,macro_sequence,0.0632244047171172,2210750
d7,dataset_7_keyframe_1,CREStereo,4,refined,OPW_px,value,0.0632244047171172,2210750
d7,dataset_7_keyframe_1,CREStereo,8,raw,TEPE_corr_px,macro_sequence,0.0731126252010422,2112235
d7,dataset_7_keyframe_1,CREStereo,8,raw,TEPE_corr_px,value,0.0731126252010422,2112235
d7,dataset_7_keyframe_1,CREStereo,8,raw,OPW_px,macro_sequence,0.10112699267751053,2112235
d7,dataset_7_keyframe_1,CREStereo,8,raw,OPW_px,value,0.10112699267751053,2112235
