split,sequence,backbone,horizon,method,metric,aggregation,value,support
d2,dataset_2_keyframe_2,S2M2-S,1,raw,TEPE_corr_px,macro_sequence,0.02849819406934323,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,raw,TEPE_corr_px,value,0.02849819406934323,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,raw,OPW_px,macro_sequence,0.034261435702460104,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,raw,OPW_px,value,0.034261435702460104,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,refined,TEPE_corr_px,macro_sequence,0.02356688894288384,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,refined,TEPE_corr_px,value,0.02356688894288384,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,refined,OPW_px,macro_sequence,0.02727673215820175,1676210
d2,dataset_2_keyframe_2,S2M2-S,1,refined,OPW_px,value,0.02727673215820175,1676210
d2,dataset_2_keyframe_2,S2M2-S,2,raw,TEPE_corr_px,macro_sequence,0.03192586381011908,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,raw,TEPE_corr_px,value,0.03192586381011908,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,raw,OPW_px,macro_sequence,0.054087653351684986,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,raw,OPW_px,value,0.054087653351684986,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,refined,TEPE_corr_px,macro_sequence,0.03079094541811155,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,refined,TEPE_corr_px,value,0.03079094541811155,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,refined,OPW_px,macro_sequence,0.0499895798283606,1639377
d2,dataset_2_keyframe_2,S2M2-S,2,refined,OPW_px,value,0.0499895798283606,1639377
d2,dataset_2_keyframe_2,S2M2-S,4,raw,TEPE_corr_px,macro_sequence,0.03641622586820014,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,raw,TEPE_corr_px,value,0.03641622586820014,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,raw,OPW_px,macro_sequence,0.09680643300576901,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,raw,OPW_px,value,0.09680643300576901,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,refined,TEPE_corr_px,macro_sequence,0.035786564739754334,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,refined,TEPE_corr_px,value,0.035786564739754334,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,refined,OPW_px,macro_sequence,0.09388469573226617,1571713
d2,dataset_2_keyframe_2,S2M2-S,4,refined,OPW_px,value,0.09388469573226617,1571713
d2,dataset_2_keyframe_2,S2M2-S,8,raw,TEPE_corr_px,macro_sequence,0.046083880996088046,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,raw,TEPE_corr_px,value,0.046083880996088046,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,raw,OPW_px,macro_sequence,0.18059358128613814,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,raw,OPW_px,value,0.18059358128613814,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,refined,TEPE_corr_px,macro_sequence,0.04854383114925589,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,refined,TEPE_corr_px,value,0.04854383114925589,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,refined,OPW_px,macro_sequence,0.17715519865542564,1442770
d2,dataset_2_keyframe_2,S2M2-S,8,refined,OPW_px,value,0.17715519865542564,1442770
d2,dataset_2_keyframe_2,RAFT-Stereo,1,raw,TEPE_corr_px,macro_sequence,0.03223462404660774,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,raw,TEPE_corr_px,value,0.03223462404660774,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,raw,OPW_px,macro_sequence,0.03874662072528776,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,raw,OPW_px,value,0.03874662072528776,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,refined,TEPE_corr_px,macro_sequence,0.025544265370803034,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,refined,TEPE_corr_px,value,0.025544265370803034,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,refined,OPW_px,macro_sequence,0.029533899924569635,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,1,refined,OPW_px,value,0.029533899924569635,1676210
d2,dataset_2_keyframe_2,RAFT-Stereo,2,raw,TEPE_corr_px,macro_sequence,0.03465498454914091,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,raw,TEPE_corr_px,value,0.03465498454914091,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,raw,OPW_px,macro_sequence,0.058150049177458814,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,raw,OPW_px,value,0.058150049177458814,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,refined,TEPE_corr_px,macro_sequence,0.032679157729060666,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,refined,TEPE_corr_px,value,0.032679157729060666,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,refined,OPW_px,macro_sequence,0.052611562746511735,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,2,refined,OPW_px,value,0.052611562746511735,1639377
d2,dataset_2_keyframe_2,RAFT-Stereo,4,raw,TEPE_corr_px,macro_sequence,0.03808501193266094,1571713
d2,dataset_2_keyframe_2,RAFT-Stereo,4,raw,TEPE_corr_px,value,0.03808501193266094,1571713
d2,dataset_2_keyframe_2,RAFT-Stereo,4,raw,OPW_px,macro_sequence,0.10090494497194068,1571713
d2,dataset_2_keyframe_2,RAFT-Stereo,4,raw,OPW_px,value,0.10090494497194068,1571713
d2,dataset_2_keyframe_2,RAFT-Stereo,4,refined,TEPE_corr_px,macro_sequence,0.035562901198497074,1571713
d2,dataset_2_keyframe_2,RAFT-Stereo,4,refined,TEPE_corr_px,value,0.035562901198497074,1571713
d2,dataset_2_keyframe_2,RAFT-Stereo,4,refined,OPW_px,macro_sequence,0.09640669483430453,1571713
