scale,backbone,valid_count,epe,raw_epe,bad1,bad3,boundary_epe,new_bad3,false_update_rate,clean_pixel_degradation,intervention_coverage,intervention_precision,mean_update_magnitude_clean,gain
0.0,RAFT-Stereo,3241575,0.14703253006674566,0.14703253006674566,0.012849309369989924,0.00340914525613138,0.5837194396513556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,S2M2-S,3241575,0.176136997858823,0.176136997858823,0.011858741524686725,0.0033551591537395145,0.5984061897118337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,StereoAnywhere,3241575,0.16439843622719125,0.16439843622719125,0.013733755955229687,0.003436601046004824,0.6075090800902591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,RAFT-Stereo,3241575,0.14607686825401897,0.14703253006674566,0.012758921218880772,0.003387859300639366,0.5794903001138964,4.391843756530541e-06,0.0002887709096823711,0.00011595311554902688,0.0014533058775440951,0.9100126490741736,0.0021195450310688034,0.000955661812726688
0.05,S2M2-S,3241575,0.17520936814498328,0.176136997858823,0.011783469449592873,0.0033301712911110795,0.5944516634031841,2.8216263020179953e-06,0.00011679420700733244,2.2078904886317638e-05,0.0011614724323824068,0.9685608436243767,0.001979084928058385,0.0009276297138397227
0.05,StereoAnywhere,3241575,0.16355783844782876,0.16439843622719125,0.013633804539469871,0.003409453747170277,0.6034645057774435,3.130576589379847e-06,0.00013229177965918933,4.8603549217853015e-05,0.0011691847327302313,0.9436085731599828,0.002005462445151617,0.0008405977793624897
0.1,RAFT-Stereo,3241575,0.14517255795979234,0.14703253006674566,0.012660820718894347,0.0033641054106442227,0.5754468639774668,7.519662119920551e-06,0.0023883165005413264,0.000785939747584363,0.006080069102211117,0.8565249067974298,0.004239089896184167,0.0018599721069533226
0.1,S2M2-S,3241575,0.1743148559283305,0.176136997858823,0.011714984242362732,0.003311044782709336,0.59064678097155,5.633987839495128e-06,0.001607920247155741,0.0004210991134839712,0.005039834031296515,0.8929380695543787,0.0039581701980521775,0.0018221419304925157
0.1,StereoAnywhere,3241575,0.16275421582929772,0.16439843622719125,0.013539097522060181,0.0033860083513164727,0.5995466040448622,6.2596208234861935e-06,0.0016055265132360983,0.0004400069654357952,0.005206111226795616,0.8965467237007411,0.004010924730671721,0.0016442203978935255
0.2,RAFT-Stereo,3241575,0.14351966831427934,0.14703253006674566,0.012481895366426382,0.003314129715385377,0.5679129167963987,1.346081732507413e-05,0.00909803089372214,0.003376300580972761,0.01646298481448062,0.7755657791558092,0.008478180255618417,0.0035128617524663175
0.2,S2M2-S,3241575,0.17262921734365141,0.176136997858823,0.011578630791348406,0.0032616860584701256,0.583484154960703,1.0636932208893872e-05,0.006879018800667487,0.0024958762045402547,0.013951551329214966,0.7960983589431048,0.007916340417416207,0.003507780515171588
0.2,StereoAnywhere,3241575,0.16126234369128262,0.16439843622719125,0.013341971119759329,0.0033406600261949955,0.5921518237705621,1.284481998489577e-05,0.007187531483673231,0.002436293139271056,0.014825509204630466,0.8153362738244323,0.008021849878508127,0.00313609253590863
0.35,RAFT-Stereo,3241575,0.14142604146139892,0.14703253006674566,0.012245282011233385,0.0032441020233149663,0.5579852576816008,2.3184393460692118e-05,0.023482253137405394,0.009990075684028078,0.03433917154469664,0.6741956508561199,0.014836815132802253,0.005606488605346738
0.35,S2M2-S,3241575,0.17036207932032973,0.176136997858823,0.011388291217841249,0.0031864140097178314,0.5738532839175237,2.004431357832845e-05,0.019643825666246954,0.00880340335119378,0.029910460192961754,0.6683956242588754,0.0138535955207872,0.005774918538493268
0.35,StereoAnywhere,3241575,0.15932190737323831,0.16439843622719125,0.013098262392425111,0.0032709408261498104,0.5821858836683879,2.1010664277982566e-05,0.018986284464664095,0.007652001162622647,0.03083038337845029,0.7090856373462836,0.014038236978370705,0.005076528853952933
0.5,RAFT-Stereo,3241575,0.13978412874936222,0.14703253006674566,0.012048772571946214,0.0031703724348529773,0.5494746822612993,3.634414605160429e-05,0.043567238829108616,0.019705993727730648,0.0567831995249223,0.5977288034353111,0.021195450612414256,0.0072484013173834405
0.5,S2M2-S,3241575,0.16840041257777133,0.176136997858823,0.011199494071165196,0.0031102164833141637,0.5654737655159501,2.598497450293654e-05,0.03813538848473116,0.01832325116674213,0.050679685029653795,0.5854871724850699,0.01979085084551059,0.007736585281051672
0.5,StereoAnywhere,3241575,0.15773851593966393,0.16439843622719125,0.012890030310360649,0.0032015301232228045,0.573565017309159,3.0407469483835128e-05,0.03739672952832991,0.016876053546304857,0.05212558709886398,0.6176717922175984,0.020054624409820684,0.006659920287527321
