scale,backbone,sequence,frames,valid_count,clean_count,changed_count,helpful_count,false_update_count,clean_degradation_count,epe,raw_epe,bad1,bad3,boundary_epe,new_bad3,false_update_rate,clean_pixel_degradation,intervention_coverage,intervention_precision,mean_update_magnitude_clean,gain
0.0,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,0,0,0,0,0.1434942038902523,0.1434942038902523,0.012828633297959635,0.0029647801857262423,0.5313220778007918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,0,0,0,0,0.18856074302499704,0.18856074302499704,0.013091977874696552,0.00862451725817822,1.1986906697874233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,0,0,0,0,0.17226727975435002,0.17226727975435002,0.011814930240532904,0.002918246266670552,0.5519250613348448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,S2M2-S,dataset_7_keyframe_2,344,254507,241516,0,0,0,0,0.22155465285020592,0.22155465285020592,0.012372940682017499,0.008483067241734385,1.143940462556178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,0,0,0,0,0.15888011471224653,0.15888011471224653,0.012944800698964833,0.0030089706776280883,0.5598789241838822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,0,0,0,0,0.22916522696773226,0.22916522696773226,0.022993473760321667,0.008455563153948256,1.1665291248943284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,4218,3844,785,324,0.14250909149405402,0.1434942038902523,0.012738243666700637,0.0029413458259025527,0.5269436221261857,4.416974247007977e-06,0.00027055391174428005,0.00011166811134413595,0.0014120870365187535,0.9113323850165955,0.0021409363229982765,0.0009851123961982788
0.05,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,493,441,124,41,0.18795073337692325,0.18856074302499704,0.01300160709563707,0.00862844644344936,1.196214006430009,4.096895154215259e-06,0.0005033100755371009,0.00016641704110500916,0.0019370783514795272,0.8945233265720081,0.001867622626361926,0.0006100096480737838
0.05,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,3542,3501,245,31,0.17126430559704844,0.17226727975435002,0.011738266411797562,0.0028911293644775763,0.5476601357271548,3.0620371815988063e-06,8.496209130199723e-05,1.0750305430048629e-05,0.0011857781610596077,0.9884246188594015,0.00200411985053175,0.0010029741573015782
0.05,S2M2-S,dataset_7_keyframe_2,344,254507,241516,223,164,120,38,0.22151131699092702,0.22155465285020592,0.01231400317833575,0.008483067241734385,1.143628994447837,0.0,0.0004968614915781978,0.00015733947233309594,0.0008762037979309017,0.7354260089686099,0.001680174384631979,4.333585927890349e-05
0.05,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,3476,3351,303,98,0.15799039251853936,0.15888011471224653,0.012851063291082484,0.002979510348897843,0.5555577138250116,3.3973109442834837e-06,0.00010552347479399415,3.412970471884959e-05,0.001163682915822472,0.9640391254315305,0.0020264436812194083,0.0008897221937071709
0.05,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,314,221,108,53,0.22890118687090014,0.22916522696773226,0.02282059050346307,0.008455563153948256,1.1657313401818676,0.0,0.00045885202022347794,0.00022517738029485492,0.0012337578141269198,0.7038216560509554,0.0017495016163976557,0.0002640400968321188
0.1,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,17270,14934,6219,2025,0.14157469933935948,0.1434942038902523,0.01264484099889214,0.0029159028108921795,0.52275680413789,7.811291956315557e-06,0.0021434073594110543,0.0006979256959008497,0.005781589170383801,0.8647365373480023,0.004281872637364312,0.00191950455089282
0.1,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,2439,1854,1299,449,0.18739948434538947,0.18856074302499704,0.012848369628227111,0.008624517278436217,1.1938533976479941,4.096895154215259e-06,0.005272578936473339,0.0018224695477109538,0.009583233467055917,0.7601476014760148,0.0037352432340195434,0.001161258679607563
0.1,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,14848,13580,4217,968,0.17029493741162793,0.17226727975435002,0.011670976370507815,0.0028703732211717054,0.5435516738983841,6.114020213403719e-06,0.0014623883225327442,0.0003356869566544217,0.004970760625469524,0.9146012931034483,0.004008239948542873,0.0019723423427220887
0.1,S2M2-S,dataset_7_keyframe_2,344,254507,241516,1489,951,808,348,0.22149536555615845,0.22155465285020592,0.01223149068723821,0.008483067241734385,1.1433871271892466,0.0,0.003345534043293198,0.0014408983255767734,0.005850526704570012,0.638683680322364,0.003360350238980162,5.928729404747202e-05
0.1,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,15189,13819,4394,1098,0.15713865873572416,0.15888011471224653,0.012762012799106512,0.002954067336196158,0.5513661710724044,6.792958972106513e-06,0.0015302645156594398,0.00038239199776833523,0.005084919392528058,0.9098031470142867,0.0040528872352709865,0.0017414559765223658
0.1,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,1687,1250,594,269,0.22866222974006092,0.22916522696773226,0.022659494639718118,0.008455563153948256,1.1650250763783285,0.0,0.0025236861112291286,0.0011428814207418109,0.006628501377172337,0.7409602845287493,0.003499002677122728,0.0005029972276713313
0.2,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,46725,36729,24282,8681,0.13986200942351917,0.1434942038902523,0.012474105028857468,0.0028616690389600885,0.5149575302323035,1.3917386732987774e-05,0.008368904566846634,0.0029919471437606306,0.015642429298563007,0.7860674157303371,0.008563745588838925,0.0036321944667331296
0.2,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,6641,4332,4357,1947,0.1864484515206558,0.18856074302499704,0.012573328089539289,0.008624517279610859,1.189433506144583,8.102206881519357e-06,0.01768485483157378,0.007902779976376898,0.026093584852283042,0.65231139888571,0.007470488687688577,0.002112291504341224
0.2,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,40846,33414,18913,6230,0.1684611345173871,0.17226727975435002,0.011530370283136634,0.0028174785410724403,0.535804931992717,1.1543230192632089e-05,0.006558726664468056,0.002160464607393644,0.013674278590243007,0.8180482789012388,0.00801648009948814,0.0038061452369629323
0.2,S2M2-S,dataset_7_keyframe_2,344,254507,241516,4379,2358,2585,1570,0.22154868451619955,0.22155465285020592,0.012145049081388061,0.008475208910800586,1.1430800843164222,0.0,0.010703224631080343,0.006500604514814753,0.017205813592553448,0.5384791048184517,0.0067206983370976135,5.968334006373199e-06
0.2,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,41923,34915,19253,5740,0.1555542588209888,0.15888011471224653,0.012571190223595194,0.0029045204234943597,0.543438039388893,1.3588547207853536e-05,0.0067050939280817465,0.0019990255621040475,0.014034832819339902,0.8328363905254872,0.008105775062157433,0.003325855891257723
0.2,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,6135,3742,3077,1829,0.22825632679327512,0.22916522696773226,0.0223883822202132,0.00845949232063005,1.163890072562868,4.115929272946772e-06,0.013073033946552237,0.007770743935080936,0.024105427355632654,0.6099429502852486,0.006998003643195936,0.0009089001744571334
0.35,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,98609,67155,64734,27003,0.13768013597826587,0.1434942038902523,0.012238422434103119,0.0027866791080014565,0.5046697730662086,2.4131562698206484e-05,0.022310875060960793,0.00930670990933859,0.03301197026649544,0.6810230303521991,0.014986554453124924,0.005814067911986437
0.35,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,12704,7547,9184,4444,0.1853905469551233,0.18856074302499704,0.012325790694056855,0.008612729812726238,1.1837322037346767,1.2067768299248382e-05,0.03727741720752205,0.018037983674894162,0.049916112326969395,0.5940648614609572,0.013073355039824595,0.003170196069873732
0.35,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,86759,59685,54535,22909,0.16597505925910952,0.17226727975435002,0.011335195609565064,0.002735458313124759,0.525335146585564,2.1065175703962202e-05,0.018911867955732322,0.007944475712805937,0.02904486941710065,0.6879401560645005,0.014028839954740592,0.0062922204952405025
0.35,S2M2-S,dataset_7_keyframe_2,344,254507,241516,10198,4477,6855,4603,0.22185114343341475,0.22155465285020592,0.012011457544984793,0.00847913810261459,1.1432952852923468,8.06277834396334e-06,0.028383212706404544,0.0190587787144537,0.040069624804032894,0.4390076485585409,0.0117612219957167,-0.00029649058320882493
0.35,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,87368,63125,51680,19433,0.15348408156308768,0.15888011471224653,0.012336511896619192,0.002829195719431762,0.5327047095136865,2.210425102502483e-05,0.017998195304797418,0.006767781140830654,0.02924874827087967,0.722518542258035,0.014185105974407754,0.0053960331491588465
0.35,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,12571,6932,7306,4340,0.22783861876850475,0.22916522696773226,0.022038686545811842,0.00845556314472677,1.1629307430236726,8.175583210216075e-06,0.031040489442154904,0.0184390534052768,0.04939353338022137,0.5514278895871451,0.012246506985798213,0.0013266081992275025
0.5,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,165295,99544,122772,54741,0.13594959452031544,0.1434942038902523,0.012043917290914148,0.002707337094658248,0.4958176543889363,3.80714283908289e-05,0.04231394248747611,0.01886674099718934,0.055336872143520004,0.6022202728455186,0.02140936401604537,0.007544609369936867
0.5,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,18772,10231,14370,7290,0.18478884174543034,0.18856074302499704,0.012105757466671644,0.008604871476391284,1.1792302132786912,1.6071580650798093e-05,0.05832714343119467,0.029589761698915043,0.07375828562672146,0.5450138504155124,0.018676220861380165,0.0037719012795666973
0.5,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,147061,88712,106528,48475,0.16379921929906352,0.17226727975435002,0.01113935135692966,0.00265343808569105,0.51613949604385,2.7511998453456515e-05,0.036942210866200656,0.01681035663618088,0.04923255848209682,0.603232672156452,0.02004119991560933,0.008468060455286502
0.5,S2M2-S,dataset_7_keyframe_2,344,254507,241516,17221,6496,12651,8788,0.2224031598681925,0.22155465285020592,0.011905370047567075,0.008471279772855434,1.144494451168945,8.06277834396334e-06,0.05238162274963149,0.03638682323324335,0.06766415069133658,0.3772138667905464,0.01680174725754766,-0.0008485070179865828
0.5,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,148954,93740,103027,44155,0.15178251873819934,0.15888011471224653,0.012134641725727618,0.002754205797282724,0.5233575452474591,3.1276373571661944e-05,0.03588041926600936,0.015377521549600039,0.04986629028867103,0.629321804046887,0.020264437284069892,0.007097595974047188
0.5,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,20015,9626,13156,8275,0.22764216750360672,0.22916522696773226,0.021755786728544113,0.00845163396962854,1.162834205018722,2.020941758028562e-05,0.05589497387092662,0.03515741173471555,0.07864223773805828,0.48093929552835374,0.01749500985696221,0.0015230594641255368
0.65,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,254504,142791,203880,92115,0.134655230315976,0.1434942038902523,0.011883894164802369,0.0026239777592139465,0.4882949182132426,4.792312878695565e-05,0.07026819302729148,0.03174786443353421,0.08520194384593856,0.561056014836702,0.027832172085774504,0.008838973574276293
0.65,RAFT-Stereo,dataset_7_keyframe_2,344,254507,246369,24969,12683,19801,10354,0.18463300064396349,0.18856074302499704,0.012035032525126882,0.008604871460568384,1.1760333002348586,2.0076892378102188e-05,0.08037131294927527,0.04202639130734792,0.098107321213169,0.5079498578237014,0.02427908654807732,0.00392774238103355
0.65,S2M2-S,dataset_7_keyframe_1,646,2987068,2883639,229889,132713,181026,79813,0.1619232427123845,0.17226727975435002,0.010988032398505264,0.0025643875544227863,0.5080922832913308,3.906894997841786e-05,0.06277692873483817,0.027677875073821655,0.07696142170181595,0.577291649448212,0.02605355881689771,0.010344037041965515
0.65,S2M2-S,dataset_7_keyframe_2,344,254507,241516,24581,8476,18863,13203,0.22316742972363107,0.22155465285020592,0.011983953336774445,0.008459492278035564,1.146471102896973,8.06277834396334e-06,0.07810248596366286,0.054667185610891206,0.09658280518806948,0.34481916927708395,0.021842270239650068,-0.001612776873425148
0.65,StereoAnywhere,dataset_7_keyframe_1,646,2987068,2871399,235657,135819,179680,80138,0.1504374645603155,0.15888011471224653,0.011969931726052607,0.002675533334972001,0.5152736870104416,4.249045845752358e-05,0.06257576881513158,0.02790904364039968,0.07889241222496442,0.576341886725198,0.026343767442856585,0.00844265015193102
0.65,StereoAnywhere,dataset_7_keyframe_2,344,254507,235370,27277,12208,19050,12073,0.22767951231556738,0.22916522696773226,0.021649699231098836,0.008443775662538873,1.1637613621089338,2.4174978998014644e-05,0.08093639801164125,0.05129370777924119,0.10717583406350316,0.44755654947391577,0.022743511563098524,0.0014857146521648767
0.8,RAFT-Stereo,dataset_7_keyframe_1,646,2987068,2901455,396722,220229,339172,143871,0.13378404979469144,0.1434942038902523,0.011754335694212715,0.002540618424518845,0.48196831173727295,6.117959381882059e-05,0.11689721191609037,0.049585811256766005,0.1328131800146498,0.5551217225160188,0.03425498255040653,0.009710154095560863
