sequence_id,frames,valid_ratio_lowres_mean,raw_disp_mae_lowres_mean,raw_disp_mae_lowres_median,raw_bad_1px_lowres_mean,raw_bad_3px_lowres_mean,delta_abs_mean,runtime_ms_mean,output_size_mb
dataset_1_keyframe_1,197,0.7545429984930203,0.7799778955842033,0.7534949779510498,24.697416692505794,0.632699996629596,0.7799778955842033,64.67928208864582,32.35180377960205
dataset_1_keyframe_2,280,0.7784392874581473,0.6297315268644265,0.6244423389434814,17.015268086486355,0.44110076949781846,0.6297315268644265,57.40909413434565,51.237518310546875
dataset_1_keyframe_3,471,0.7619852313063961,1.653755221270705,1.484839916229248,57.046994879923616,14.849146488548689,1.653755221270705,57.70076002239501,93.11346912384033
dataset_2_keyframe_1,88,0.561345741965554,1.0495965819467197,1.0387576818466187,41.20658171246955,3.2058947595018696,1.0495965819467197,57.792425637175754,11.922547340393066
dataset_2_keyframe_2,968,0.384707628990993,3.0754513746081305,2.5830273628234863,70.42351857896178,31.927490380732753,3.0754513746081305,57.826882168363916,118.82957458496094
dataset_2_keyframe_3,731,0.23900418679463065,2.1959774075063243,1.8440951108932495,64.97921342831604,24.173013291830404,2.1959774075063243,57.90872193035885,53.000497817993164
dataset_2_keyframe_4,1677,0.3282343974195923,2.636181547731321,1.837557315826416,56.760826815374024,25.793141960877993,2.636181547731321,58.12707462583513,127.97630500793457
dataset_3_keyframe_1,329,0.7397034618992212,6.973253830587972,8.157405853271484,85.54812881932197,60.89055462671331,6.973253830587972,57.86088143764092,75.03794002532959
dataset_3_keyframe_2,1597,0.4504306475520507,1.6551788387331428,1.6803051233291626,61.115138877588194,11.241525852390222,1.6551788387331428,57.99283300241853,211.79069995880127
dataset_3_keyframe_3,448,0.4313223430088588,3.2632544139134034,3.7278295755386353,67.37470319338615,37.329895625484426,3.2632544139134034,57.873582687274656,63.87113571166992
dataset_3_keyframe_4,834,0.3777007105253298,1.6795304457632472,1.5646007657051086,59.293786945729444,12.426821708434133,1.6795304457632472,57.89314485121545,82.37217235565186
dataset_4_keyframe_1,728,0.5832717057112808,15.086239737796259,14.828534126281738,93.73912487350263,83.46325133521346,15.086239737796259,57.94347162265075,149.19139957427979
dataset_4_keyframe_2,540,0.7273131419994212,6.866645202813325,6.663451433181763,82.1395736021269,56.42081453429395,6.866645202813325,57.95798392888779,104.17460060119629
dataset_4_keyframe_3,366,0.3909104644275102,10.410017642818513,9.5654878616333,90.03010655718094,73.05254674084507,10.410017642818513,57.941317773307034,42.51934814453125
dataset_4_keyframe_4,323,0.3677681843193692,20.365432527412203,15.775212287902832,96.865987816853,91.14520437871967,20.365432527412203,57.74538273614581,42.20522212982178
dataset_5_keyframe_1,197,0.7496605577807742,19.747959696096817,16.92144203186035,91.73307575531189,80.00383309214885,19.747959696096817,57.82026535391732,48.319844245910645
dataset_5_keyframe_2,1565,0.43240028454472845,21.96109635776605,16.1671199798584,95.27933983632985,86.51914017443463,21.96109635776605,57.91913223402283,240.8814754486084
dataset_5_keyframe_3,1263,0.4550554313267024,18.18049380369632,11.342781066894531,94.04205845363774,82.38655161101681,18.18049380369632,59.22804204806072,183.0559597015381
dataset_5_keyframe_4,411,0.6926811867966849,10.716416117628706,8.741722106933594,91.71383191946163,76.5747687982007,10.716416117628706,57.861918569916355,78.28546142578125
dataset_6_keyframe_1,637,0.7051401374852826,2.011515118357151,1.83970308303833,61.894703895094004,20.971371875549767,2.011515118357151,57.774518248062215,131.13106060028076
dataset_6_keyframe_2,1055,0.41328354098785547,5.049483684510417,3.584747076034546,81.91139605173348,54.9712149173007,5.049483684510417,57.953366268673356,135.15107440948486
dataset_6_keyframe_3,1400,0.45500245884486606,3.558517257039036,2.3295364379882812,73.62964700419406,34.362127986407394,3.558517257039036,59.12018846404472,177.7414426803589
dataset_6_keyframe_4,1334,0.5452460110276893,5.703056973495941,3.335994243621826,75.68248530476733,43.10702933834063,5.703056973495941,58.04795705461302,202.3381118774414
dataset_7_keyframe_1,647,0.5047299133017774,2.0909568482241268,2.062638282775879,52.04725007061679,14.997069441117667,2.0909568482241268,58.12813375984395,110.43791770935059
dataset_7_keyframe_2,628,0.22660345575612062,4.034569939989953,3.839642882347107,79.48031204834574,49.922795620661546,4.034569939989953,58.21023409953341,65.1946382522583
dataset_7_keyframe_3,440,0.26740162242542614,9.477307682687586,4.413052558898926,55.824117632811465,24.723570208865443,9.477307682687586,58.051873604364864,31.777753829956055
dataset_7_keyframe_4,1467,0.304804303065887,6.061453439544152,5.314969062805176,83.28886092238474,56.60405489356356,6.061453439544152,58.13305228618472,162.2837257385254
