sequence,frames,support,method,causal,frozen_backbone,pixels,EPE,Bad1,Bad3,RMSE,P95,InvalidRate
dataset_2_keyframe_2,1033,gt,raw_raftstereo_robust,n/a,n/a,2054967,0.24047493529939765,0.009132506750716678,0.0007790879366919274,0.42218747453692756,0.6081409454345703,0.0
dataset_2_keyframe_2,1033,gt,bidastabilizer,no,yes,2054967,0.23697913415165128,0.00876656413460654,0.0007377247420518188,0.41363467382649305,0.6030394554138183,0.0
dataset_2_keyframe_2,1033,gt,tcstereo_sceneflow,yes,no,2054967,0.46843574950172373,0.05936834995403819,0.010568052917638094,1.5860195405801727,1.1050166130065915,0.0
dataset_2_keyframe_2,1033,gt_and_raw,raw_raftstereo_robust,n/a,n/a,2054967,0.24047493529939765,0.009132506750716678,0.0007790879366919274,0.42218747453692756,0.6081409454345703,0.0
dataset_2_keyframe_2,1033,gt_and_raw,bidastabilizer,no,yes,2054967,0.23697913415165128,0.00876656413460654,0.0007377247420518188,0.41363467382649305,0.6030394554138183,0.0
dataset_2_keyframe_2,1033,gt_and_raw,tcstereo_sceneflow,yes,no,2054967,0.46843574950172373,0.05936834995403819,0.010568052917638094,1.5860195405801727,1.1050166130065915,0.0
dataset_2_keyframe_3,1102,gt,raw_raftstereo_robust,n/a,n/a,4723502,0.27072864077941255,0.025004752829574328,0.0005286332047705283,0.40314121289731913,0.7926397323608398,0.0
dataset_2_keyframe_3,1102,gt,bidastabilizer,no,yes,4723502,0.2644395916151739,0.024258061074177592,0.00038064978060769317,0.3937789168862103,0.7827299594879156,0.0
dataset_2_keyframe_3,1102,gt,tcstereo_sceneflow,yes,no,4723502,0.6788171457033965,0.15243753469353882,0.026737365624064518,1.5309359689375641,2.0870580196380617,0.0
dataset_2_keyframe_3,1102,gt_and_raw,raw_raftstereo_robust,n/a,n/a,4723502,0.27072864077941255,0.025004752829574328,0.0005286332047705283,0.40314121289731913,0.7926397323608398,0.0
dataset_2_keyframe_3,1102,gt_and_raw,bidastabilizer,no,yes,4723502,0.2644395916151739,0.024258061074177592,0.00038064978060769317,0.3937789168862103,0.7827299594879156,0.0
dataset_2_keyframe_3,1102,gt_and_raw,tcstereo_sceneflow,yes,no,4723502,0.6788171457033965,0.15243753469353882,0.026737365624064518,1.5309359689375641,2.0870580196380617,0.0
dataset_2_keyframe_4,2114,gt,raw_raftstereo_robust,n/a,n/a,11221006,0.32781390486199263,0.021286237615415232,0.002618838275284765,0.47228245599715485,0.764678955078125,0.0
dataset_2_keyframe_4,2114,gt,bidastabilizer,no,yes,11221006,0.3298941081149415,0.02004927187455385,0.0024403337811244375,0.4646969777147646,0.7546710968017578,0.0
dataset_2_keyframe_4,2114,gt,tcstereo_sceneflow,yes,no,11221006,0.46934931979090616,0.07015092942647032,0.013758302954298394,1.3202589331460348,1.20021390914917,0.0
dataset_2_keyframe_4,2114,gt_and_raw,raw_raftstereo_robust,n/a,n/a,11221006,0.32781390486199263,0.021286237615415232,0.002618838275284765,0.47228245599715485,0.764678955078125,0.0
dataset_2_keyframe_4,2114,gt_and_raw,bidastabilizer,no,yes,11221006,0.3298941081149415,0.02004927187455385,0.0024403337811244375,0.4646969777147646,0.7546710968017578,0.0
dataset_2_keyframe_4,2114,gt_and_raw,tcstereo_sceneflow,yes,no,11221006,0.46934931979090616,0.07015092942647032,0.013758302954298394,1.3202589331460348,1.20021390914917,0.0
