model,valid_disp_mae_px,valid_disp_bad2_pct,valid_disp_depth_mae_mm,depth_mae_cap100_mm,pred_disp_le_0_5_ratio,runtime_ms
S2M2-S,3.075263816780514,27.771897664747474,1.7397127078639136,2.6711430701944563,0.0,70.05252671531505
RT-MonSter++_ZeroShot_native,3.632756385538313,29.711696108761462,1.9316480570369297,2.836127514309353,0.0,208.49538056386842
S2M2-XL,3.8632483853234185,27.5601085940411,1.9518590132395426,2.9207058403227064,0.0,155.1958038057718
Fast-FoundationStereo_ONNX,6.914469243420495,27.58297017364621,2.5936250898573134,3.4979286432266234,1.063257861961219e-06,53.968304209411144
MonSter++_MixAll_native,8.25675978925493,30.26880175456972,2.752579469813241,3.727239865064621,0.0,1940.2529175082843
RAFT-Stereo_Middlebury_native,6.712441375520494,30.014175697462775,2.8823012994395363,3.8582611050870685,0.0,713.5140928853717
StereoAnywhere_native,6.974217462539673,31.111615495477377,2.9041597498787772,3.870580099688636,0.0,772.6623728560904
CREStereo_native,15.288329393333859,30.94236893931701,4.615011370844311,5.597832166486317,0.0,565.5210049822927
DEFOM-Stereo_ViT-L_ETH3D_native,21.55778732034895,30.094116098263576,4.689335863457786,5.6730614324410755,0.0,1508.7840689863597
SGBM,6.823724246025085,32.08520900953537,16.10630675289366,17.40012304517958,0.3412172191668443,635.6472133037945
