sequence_id,num_frames_total,frames_evaluated,frames_skipped,valid_pixel_pct_mean,valid_pixel_pct_min,valid_pixel_pct_max,disparity_mae_mean,disparity_mae_median,disparity_rmse_mean,bad_1px_mean,bad_2px_mean,bad_3px_mean,depth_mae_mean,depth_mae_median,runtime_ms_mean,runtime_ms_median,warnings
dataset_1_keyframe_1,197,197,0,0.382522943177199,0.32227554321289065,0.48959808349609374,0.88014494341593,0.8449575025918574,1.495920506878552,32.60699437922039,6.0678859302251125,1.148010104422663,0.9431024714172415,0.9272703265399218,69.87737841327406,56.31214706227183,
dataset_1_keyframe_2,280,280,0,0.38382579258510047,0.33517303466796877,0.5678756713867188,0.7405731589637572,0.7340921284317605,1.3386222363857185,24.994749835904855,3.7910414310615725,0.7043286608293449,0.9402222513463798,0.9497199536289377,56.83931455298859,56.579219992272556,
dataset_1_keyframe_3,471,471,0,0.39099186210875303,0.18682098388671875,0.5936676025390625,1.7748372515912882,1.5757113725585927,2.236457596001107,60.32323023872677,32.571285063510395,17.414814413471802,1.5129528056186594,1.446133716068375,56.88444212733545,56.52599595487118,
dataset_2_keyframe_1,88,88,0,0.27394582575017756,0.2375732421875,0.29787216186523435,1.1187246118794543,1.1196787757109612,1.4986892135651109,45.6282770179127,13.993444313490727,4.053843384461527,0.8975869631038726,0.8639522044900072,56.71520267655565,56.50393757969141,
dataset_2_keyframe_2,1033,968,65,0.16200900451719244,0.00905303955078125,0.6253509521484375,3.2265873043066304,2.7796254010302857,5.3519366506544745,72.09538150114912,49.430507285401184,33.519971341702444,2.4852944341631034,2.1934376691767676,57.04144957284866,56.83186650276184,low_valid_pixel_pct
dataset_2_keyframe_3,1102,731,371,0.09437449155831726,0.004156494140625,0.34413681030273435,2.2806708208889153,1.9224066712372665,3.015480411992576,66.18660312422539,40.91973222400218,25.320978751303887,2.14087650319205,1.9705052554115512,56.99061573783723,56.7825329490006,low_valid_pixel_pct
dataset_2_keyframe_4,2114,1677,437,0.13928499862396615,0.0,0.43931427001953127,2.6433017191615917,1.853958340389307,4.20007291880102,58.21727529822965,36.841574824976384,25.977084254774166,1.550845702545773,1.3541378224172704,57.095937951360746,56.93051288835704,low_valid_pixel_pct
dataset_3_keyframe_1,329,329,0,0.3710166328221469,0.23250961303710938,0.5349609375,6.805031045158282,7.851394245403369,10.084161089301237,85.72959051190387,72.49646799848435,60.598592980279065,8.232884324631346,9.809447768180787,57.15395632910466,56.935750879347324,
dataset_3_keyframe_2,1597,1597,0,0.22969554741082523,0.1609375,0.5063522338867188,1.6987021510384481,1.7370208248316537,2.4648304383253135,61.353828012776155,28.579072931690845,12.376373945292958,2.637247247520419,2.6733445006041525,57.765173883677114,57.11018480360508,
dataset_3_keyframe_3,448,448,0,0.20840611457824706,0.11498260498046875,0.45323028564453127,3.3977511891173484,3.7760393124671223,4.856772002641854,69.90084535959612,50.988302065375386,38.12841143143227,5.632073572573473,6.6445973119440165,57.482215820138144,57.258312474004924,
dataset_3_keyframe_4,834,834,0,0.19337063064392235,0.12943649291992188,0.4521598815917969,1.8087748706369526,1.674419859376264,2.5928289407618266,61.89614895614363,32.89174824376003,15.328711401883893,1.740738519488507,1.7058955693855102,57.382771000768585,57.18724150210619,
dataset_4_keyframe_1,728,728,0,0.2687018226791214,0.12872467041015626,0.4971199035644531,14.946885210066961,14.705580231498292,17.675638712432647,93.99506296649491,88.46959372304723,83.58555026558055,7.118679504599538,7.2811971769234525,57.19534294253758,57.03672964591533,
