scope,backbone,method,age_frames,temporal_metric,geometry_gain_epe,temporal_gain
CREStereo,CREStereo,h4,1,gt_tce,0.011100377706877995,-0.0027555599452774165
CREStereo,CREStereo,h4,1,rgt_tce,0.011100377706877995,-0.00011237331241056425
CREStereo,CREStereo,h4,1,nr_tce,0.011100377706877995,0.0005655188866459633
CREStereo,CREStereo,immutable,1,gt_tce,-0.0044432620556763,-0.008066847187416494
CREStereo,CREStereo,immutable,1,rgt_tce,-0.0044432620556763,-0.0007083515537586417
CREStereo,CREStereo,immutable,1,nr_tce,-0.0044432620556763,-0.00019596492660410927
CREStereo,CREStereo,h4,2,gt_tce,0.011100377706877995,-0.00807163266227525
CREStereo,CREStereo,h4,2,rgt_tce,0.011100377706877995,-0.0005796154057725023
CREStereo,CREStereo,h4,2,nr_tce,0.011100377706877995,0.0003699318805643883
CREStereo,CREStereo,immutable,2,gt_tce,-0.0044432620556763,-0.010230917535449247
CREStereo,CREStereo,immutable,2,rgt_tce,-0.0044432620556763,-0.0008694517468198731
CREStereo,CREStereo,immutable,2,nr_tce,-0.0044432620556763,-0.00015813452715661598
CREStereo,CREStereo,h4,4,gt_tce,0.011100377706877995,-0.0031732789389780428
CREStereo,CREStereo,h4,4,rgt_tce,0.011100377706877995,-0.00021723800478295682
CREStereo,CREStereo,h4,4,nr_tce,0.011100377706877995,0.00027753308942345123
CREStereo,CREStereo,immutable,4,gt_tce,-0.0044432620556763,-0.014899372091648877
CREStereo,CREStereo,immutable,4,rgt_tce,-0.0044432620556763,-0.001229010043116016
CREStereo,CREStereo,immutable,4,nr_tce,-0.0044432620556763,-2.2167088878833133e-05
CREStereo,CREStereo,h4,8,gt_tce,0.011100377706877995,-0.007264081209532251
CREStereo,CREStereo,h4,8,rgt_tce,0.011100377706877995,-0.0005664258204388962
CREStereo,CREStereo,h4,8,nr_tce,0.011100377706877995,0.00035412004816029116
CREStereo,CREStereo,immutable,8,gt_tce,-0.0044432620556763,-0.024037036858043398
CREStereo,CREStereo,immutable,8,rgt_tce,-0.0044432620556763,-0.001925308654850467
CREStereo,CREStereo,immutable,8,nr_tce,-0.0044432620556763,0.00036815642029947027
Fast-FoundationStereo,Fast-FoundationStereo,h4,1,gt_tce,0.01068601054757784,-0.004660998230716067
Fast-FoundationStereo,Fast-FoundationStereo,h4,1,rgt_tce,0.01068601054757784,-0.00029361681919781247
Fast-FoundationStereo,Fast-FoundationStereo,h4,1,nr_tce,0.01068601054757784,0.000434235441064355
Fast-FoundationStereo,Fast-FoundationStereo,immutable,1,gt_tce,-0.005266467618040838,-0.007846244749663372
Fast-FoundationStereo,Fast-FoundationStereo,immutable,1,rgt_tce,-0.005266467618040838,-0.0006909148604577978
Fast-FoundationStereo,Fast-FoundationStereo,immutable,1,nr_tce,-0.005266467618040838,-0.00020474719756389658
Fast-FoundationStereo,Fast-FoundationStereo,h4,2,gt_tce,0.01068601054757784,-0.009623099392150933
Fast-FoundationStereo,Fast-FoundationStereo,h4,2,rgt_tce,0.01068601054757784,-0.0007255759867071093
