scope,backbone,method,age_frames,epe,gain_vs_raw_epe,frame_win_rate_vs_raw,sequence_win_rate_vs_raw,worst_frame_delta_vs_raw,track_jitter,clean_pixel_degradation,update_magnitude,na_reason,gt_tce,rgt_tce,nr_tce,stereo_photo,temporal_photo
CREStereo,CREStereo,raw,0,0.29434091297467013,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,,,,,
CREStereo,CREStereo,raw,1,0.29434091297467013,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.031662070418076886,0.0030892559034764217,0.004366589664649212,0.016691944016008802,0.012234798299245822
CREStereo,CREStereo,raw,2,0.29434091297467013,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.034667578290604656,0.003370472525635802,0.007494056722050241,0.016691944016008802,0.014387145006916893
CREStereo,CREStereo,raw,4,0.29434091297467013,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.038671769989665636,0.003734535089723434,0.013881574520320936,0.016691944016008802,0.018624536672670413
CREStereo,CREStereo,raw,8,0.29434091297467013,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.0471237123740859,0.0045055256598270374,0.02648190527412123,0.016691944016008802,0.027756824031453308
CREStereo,CREStereo,h4,0,0.28324053526779214,0.011100377706877995,0.5820292781423524,1.0,-0.4571133852005005,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,,,,,
CREStereo,CREStereo,h4,1,0.28324053526779214,0.011100377706877995,0.5820292781423524,1.0,-0.4571133852005005,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.0344176303633543,0.003201629215886986,0.0038010707780032488,0.016783696379168638,0.012234798299245822
CREStereo,CREStereo,h4,2,0.28324053526779214,0.011100377706877995,0.5820292781423524,1.0,-0.4571133852005005,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.04273921095287991,0.003950087931408304,0.007124124841485852,0.016783696379168638,0.014387145006916893
CREStereo,CREStereo,h4,4,0.28324053526779214,0.011100377706877995,0.5820292781423524,1.0,-0.4571133852005005,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.04184504892864368,0.003951773094506391,0.013604041430897485,0.016783696379168638,0.018624536672670413
CREStereo,CREStereo,h4,8,0.28324053526779214,0.011100377706877995,0.5820292781423524,1.0,-0.4571133852005005,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.05438779358361815,0.005071951480265934,0.026127785225960938,0.016783696379168638,0.027756824031453308
CREStereo,CREStereo,immutable,0,0.29878417503034643,-0.0044432620556763,0.48207975769813227,0.3333333333333333,-3.7006009817123413,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,,,,,
CREStereo,CREStereo,immutable,1,0.29878417503034643,-0.0044432620556763,0.48207975769813227,0.3333333333333333,-3.7006009817123413,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.03972891760549338,0.0037976074572350633,0.004562554591253321,0.016946918109456602,0.012234798299245822
CREStereo,CREStereo,immutable,2,0.29878417503034643,-0.0044432620556763,0.48207975769813227,0.3333333333333333,-3.7006009817123413,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.0448984958260539,0.004239924272455675,0.007652191249206857,0.016946918109456602,0.014387145006916893
CREStereo,CREStereo,immutable,4,0.29878417503034643,-0.0044432620556763,0.48207975769813227,0.3333333333333333,-3.7006009817123413,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.05357114208131451,0.00496354513283945,0.01390374160919977,0.016946918109456602,0.018624536672670413
CREStereo,CREStereo,immutable,8,0.29878417503034643,-0.0044432620556763,0.48207975769813227,0.3333333333333333,-3.7006009817123413,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.0711607492321293,0.006430834314677504,0.02611374885382176,0.016946918109456602,0.027756824031453308
Fast-FoundationStereo,Fast-FoundationStereo,raw,0,0.30370121794138877,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,,,,,
Fast-FoundationStereo,Fast-FoundationStereo,raw,1,0.30370121794138877,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.02753983192644296,0.0026988006786014132,0.004128683767252659,0.01675407253692431,0.012234798299245822
Fast-FoundationStereo,Fast-FoundationStereo,raw,2,0.30370121794138877,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.030923973685285648,0.0030154460543524164,0.0073149115937256644,0.01675407253692431,0.014387145006916893
Fast-FoundationStereo,Fast-FoundationStereo,raw,4,0.30370121794138877,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.03591990254635914,0.0034777733094778487,0.013753542634408165,0.01675407253692431,0.018624536672670413
Fast-FoundationStereo,Fast-FoundationStereo,raw,8,0.30370121794138877,0.0,0.0,0.0,0.0,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.04545127706527737,0.004353723746554976,0.026339440750822743,0.01675407253692431,0.027756824031453308
Fast-FoundationStereo,Fast-FoundationStereo,h4,0,0.29301520739381093,0.01068601054757784,0.5790005047955578,1.0,-0.4523407220840454,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,,,,,
Fast-FoundationStereo,Fast-FoundationStereo,h4,1,0.29301520739381093,0.01068601054757784,0.5790005047955578,1.0,-0.4523407220840454,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.03220083015715903,0.0029924174977992257,0.003694448326188304,0.016837214019924236,0.012234798299245822
Fast-FoundationStereo,Fast-FoundationStereo,h4,2,0.29301520739381093,0.01068601054757784,0.5790005047955578,1.0,-0.4523407220840454,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.04054707307743658,0.0037410220410595257,0.00702002651084607,0.016837214019924236,0.014387145006916893
Fast-FoundationStereo,Fast-FoundationStereo,h4,4,0.29301520739381093,0.01068601054757784,0.5790005047955578,1.0,-0.4523407220840454,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.04035494359708368,0.0038128520614473644,0.013515199612694323,0.016837214019924236,0.018624536672670413
Fast-FoundationStereo,Fast-FoundationStereo,h4,8,0.29301520739381093,0.01068601054757784,0.5790005047955578,1.0,-0.4523407220840454,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.053894909168383055,0.0050338442813562334,0.026033544363143313,0.016837214019924236,0.027756824031453308
Fast-FoundationStereo,Fast-FoundationStereo,immutable,0,0.3089676855594296,-0.005266467618040838,0.4876325088339223,0.3333333333333333,-0.9067322611808777,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,,,,,
Fast-FoundationStereo,Fast-FoundationStereo,immutable,1,0.3089676855594296,-0.005266467618040838,0.4876325088339223,0.3333333333333333,-0.9067322611808777,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.03538607667610633,0.003389715539059211,0.004333430964816556,0.016988847331821624,0.012234798299245822
Fast-FoundationStereo,Fast-FoundationStereo,immutable,2,0.3089676855594296,-0.005266467618040838,0.4876325088339223,0.3333333333333333,-0.9067322611808777,N/A,N/A,N/A,prediction tensors/raw-good masks/long-track support are not saved by the compact sidecar,0.04137366335854492,0.0039027140384819007,0.007559613554851956,0.016988847331821624,0.014387145006916893
