sequence,dataset,protocol,frames,catastrophic_update_gt3,clean_degradation,epe_gain,false_update_rate,harmful_modified_rate,intervention_coverage_all,intervention_precision,max_update_abs,mean_clean_update,mean_update_abs,new_bad3,raw_bad1,raw_bad3,raw_boundary_epe,raw_epe,refined_bad1,refined_bad3,refined_boundary_epe,refined_epe,support_ratio,transition,evaluated_frames,valid_count,clean_count,modified_count,frames_worsened,worst_frame_degradation,p95_frame_degradation
specimen_1__2025_03_06-16_49_40,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,1,0.0,0.07797270955165692,0.07709364593029022,0.11825860948667966,0.37740384615384615,0.22312653562653562,0.6201923076923077,3.381945848464966,0.06862051784992218,0.15316954255104065,0.014814814814814817,0.4506465517241379,0.1853448275862069,3.662701368331909,3.771144151687622,0.452801724137931,0.19504310344827586,3.5737497806549072,3.6940505504608154,0.9799357945425361,3.0,1,4640,1539,1248,0.0,-0.07709360122680664,-0.07709360122680664
specimen_1__2025_03_06-16_53_09,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,2,0.0,0.11224907824662024,0.14259556024705033,0.18230233510856209,0.2507587615166412,0.35423708766847234,0.7645283018867924,3.6920292377471924,0.1281275458844506,0.32313191145658493,0.016136089650888148,0.5856245494799711,0.3420862938935228,8.718122720718384,7.964292933405422,0.5907733498094944,0.3544434146843785,8.550759315490723,7.8216972112434675,0.9796724518459069,3.0,2,9711,2441,3975,0.0,-0.05044078826904297,-0.05937209129333497
specimen_1__2025_03_06-16_54_09,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,2,0.0,0.14093023255813952,0.20788814336985204,0.2018604651162791,0.22497700957237804,0.34369226825180244,0.770224171539961,3.685253143310547,0.14752580786123873,0.30569641292095184,0.01235044837919348,0.6014138118542687,0.3421424687330071,6.834841370582581,6.214911145059358,0.5967373572593802,0.34823273518216424,6.5967020988464355,6.007023386620775,0.9777287319422151,3.0,2,9195,2150,4104,0.0,-0.11955595016479492,-0.12811815738677979
specimen_1__2025_03_06-16_56_00,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,8,0.0,0.17617629541393687,0.0468041808252437,0.26420488385944013,0.46503796056037094,0.36390686475224665,0.5260056127221703,3.643467664718628,0.11453510303629375,0.25038483552634716,0.0209855621987138,0.5346626910175177,0.18561311964219157,3.317569598555565,3.524841065806089,0.5463722201515716,0.20101876009442166,3.2924458235502243,3.4780368303746108,0.9795627257223114,3.0,8,32196,8395,10690,0.0,-0.027840614318847656,-0.027840614318847656
specimen_1__2025_03_06-17_03_37,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,2,0.0,0.2079207920792079,0.1433661581722525,0.2376237623762376,0.26169871794871796,0.5387555440388379,0.7987012987012987,3.6963021755218506,0.1871093825833632,0.24145998805761337,0.0024244312566635345,0.5764499121265377,0.26362038664323373,1.2901348173618317,2.1413115248319765,0.5553602811950791,0.23550087873462214,1.2280491590499878,1.9979453401113016,0.9520089285714286,3.0,2,569,101,308,0.0,-0.0513608455657959,-0.05661697387695313
specimen_1__2025_03_06-17_04_37,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,9,0.0,0.3129251700680272,0.14596268338044352,0.5414965986394558,0.31663846954248925,0.5851513349228069,0.6798679867986799,3.5839128494262695,0.24150751005021892,0.2269760717948278,0.0052376204996460365,0.4935108153078203,0.15207986688851913,0.9732213467359543,1.6141534831083555,0.46855241264559067,0.13544093178036606,0.9287536889314651,1.4681908489860434,0.9595343989655787,3.0,9,3005,735,1818,0.2222222222222222,0.1255165934562683,0.1255165934562683
specimen_1__2025_03_06-17_10_48,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,2,0.0,0.4330708661417323,-0.0024247393012046814,0.5196850393700787,0.4648427604675569,0.5426734478254573,0.5479041916167665,3.5822904109954834,0.21504772002772082,0.22963743656873703,0.024524237939873347,0.5962145110410094,0.18454258675078863,1.4280678033828735,2.5260991493610176,0.5772870662460567,0.20504731861198738,1.4453456401824951,2.528523815167063,0.9618905497592296,3.0,2,634,127,334,0.5,0.0828547477722168,0.07348109483718872
specimen_1__2025_03_06-17_33_33,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,2,0.0,0.30434782608695654,-0.02839938849434532,0.6521739130434783,0.3911610486891386,0.6140346406021482,0.6158536585365854,3.6214985847473145,0.37767045070295746,0.2633001059293747,0.046201507232658236,0.756007393715342,0.20517560073937152,1.78125,2.115295739358983,0.7541589648798521,0.22920517560073936,1.8801759481430054,2.1436952090307435,0.9624548555377207,3.0,2,541,46,328,1.0,0.05736041069030762,0.0548086404800415
specimen_1__2025_03_06-17_35_04,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,1,0.0,0.20930232558139536,0.04501790553331375,0.627906976744186,0.20588235294117646,0.5443555886181886,0.7941176470588235,3.4288103580474854,0.12347771227359772,0.20473434031009674,0.010695187165775402,0.6043478260869565,0.18695652173913044,,1.777445673942566,0.6130434782608696,0.19130434782608696,,1.732427716255188,0.9439957865168539,3.0,1,230,43,136,0.0,-0.04501795768737793,-0.04501795768737793
specimen_1__2025_03_06-17_36_19,D4D anchors native grid,original 178x224 raw plus upscaled cache-grid correction,7,0.0,0.29457364341085274,-0.13715592983867916,0.6705426356589147,0.3910226742184496,0.6761217289654048,0.6068669527896996,3.6830763816833496,0.12139394642539726,0.3345544380801065,0.04537303463506618,0.6544891640866873,0.31331269349845203,2.2619047590664456,2.3163119389914875,0.6526315789473685,0.32321981424148605,2.856249826295035,2.4534677997093084,0.9556545230451731,3.0,7,1615,258,1165,1.0,0.3982703685760498,0.3982703685760498
