namespace,coverage_threshold,backbone,sequence,method,epe,bad1,bad3,absrel,boundary_epe,false_update_rate,clean_degradation_ratio,clean_update_mean,new_bad3,valid_count,clean_count,raw_good3_count,boundary_count,common_valid_ratio,frames,frames_worsened_ratio,worst_frame_degradation,p95_frame_degradation
cache,0.05,S2M2-S,dataset_7_keyframe_1,raw,0.2314972199044912,0.018150641994523663,0.00304703865930299,0.021783120004011662,0.2850689926252237,0.0,0.0,0.0,0.0,2735771,2540640,2727435,1662317,0.824583755304784,128,0.0,0.0,0.0
cache,0.05,S2M2-S,dataset_7_keyframe_1,memory,0.23274883609710711,0.017466374195793433,0.0027531544124124426,0.021930994895426967,0.2855818281976773,0.4325189715977077,0.3864006706971472,0.05907284984210354,0.00015875722061204026,2735771,2540640,2727435,1662317,0.824583755304784,128,0.5234375,0.05020412802696228,0.017072441428899764
cache,0.05,S2M2-S,dataset_7_keyframe_1,blend_0.1,0.23075833794828218,0.017971167908425085,0.003005368504893136,0.02170868969400886,0.2840864675511011,0.0016641476163486366,0.012048932552427736,0.005907319875572872,1.246592494413249e-05,2735771,2540640,2727435,1662317,0.824583755304784,128,0.2109375,0.0037270039319992065,0.0008333407342433929
cache,0.05,S2M2-S,dataset_7_keyframe_1,blend_0.25,0.2300108101559585,0.01776135502569477,0.0029457874946404506,0.021634450111276248,0.28304304666285596,0.029632690975502234,0.11456404685433591,0.01476821242614198,2.969823295513917e-05,2735771,2540640,2727435,1662317,0.824583755304784,128,0.234375,0.009974390268325806,0.0023913033306598662
cache,0.05,S2M2-S,dataset_7_keyframe_1,blend_0.5,0.22973752196880323,0.017487574800668624,0.0028661024625233618,0.021610606083339024,0.28247328405054123,0.16933646640216637,0.25783700170035895,0.029536425132586162,8.139515698815921e-05,2735771,2540640,2727435,1662317,0.824583755304784,128,0.3515625,0.021931111812591553,0.005873103439807892
cache,0.05,S2M2-S,dataset_7_keyframe_1,heuristic_gate,0.2296132812957871,0.01758224646726645,0.0029000965358577163,0.021602823184259923,0.2824258207680253,0.11815605516720197,0.2206943919642295,0.02477168990220623,5.6463307099894225e-05,2735771,2540640,2727435,1662317,0.824583755304784,128,0.3203125,0.01768636703491211,0.004498406499624252
cache,0.05,S2M2-S,dataset_7_keyframe_1,learned_refiner,0.25945419270437586,0.01988689842826757,0.002993306091774494,0.02247902922373048,0.33237570763501356,0.6540312677120725,0.3911105075886391,0.1316826755654065,0.00015875722061204026,2735771,2540640,2727435,1662317,0.824583755304784,128,0.59375,0.12644317746162415,0.10654177740216254
cache,0.05,S2M2-S,dataset_7_keyframe_1,oracle,0.2020783344528964,0.015464013618098883,0.0025948809311890507,0.01889025085835123,0.2502610216426622,0.19470133509666857,0.0,0.02642634337829337,0.0,2735771,2540640,2727435,1662317,0.824583755304784,128,0.0,-0.01497572660446167,-0.019369062781333928
cache,0.25,S2M2-S,dataset_7_keyframe_1,raw,0.20546598335018143,0.011469446629231446,0.0024605116877730792,0.02023119677223341,0.24538649218358558,0.0,0.0,0.0,0.0,2189382,2082356,2183995,1373767,0.6598976417824074,128,0.0,0.0,0.0
cache,0.25,S2M2-S,dataset_7_keyframe_1,memory,0.2075450509217602,0.011224628685172345,0.0023148084710662644,0.020437913220293234,0.24792656184873482,0.41458328931268235,0.37739560382566667,0.056283998916701036,7.600750001717037e-05,2189382,2082356,2183995,1373767,0.6598976417824074,128,0.5703125,0.04514393210411072,0.017499120533466337
